@relation 'pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.2599+0.2517+0.23828+0.23321+0.2331... numeric
@attribute '0.28326+0.24729+0.23815+0.23 27-0.20812...' numeric
@attribute '0.26313+0.25111-0.24238-0.23739+0.23 15...' numeric
@attribute '-0.3122+0.28625-0.27143+0.23 40+0.2173...' numeric
@attribute '-0.3413-0.345+0.3  45+0.24540-0.23630...' numeric
@attribute '0.35144+0.28714-0.28423+0.28 43+0.26913...' numeric
@attribute 0.3396+0.3384-0.2625-0.2583+0.23520... numeric
@attribute 0.3154+0.3146+0.3083+0.3075+0.27323... numeric
@attribute -0.42141+0.41637+0.34844-0.2854-0.2856... numeric
@attribute '0.58 14+0.28323-0.2486-0.2464+0.24 7...' numeric
@attribute -0.49323+0.41342+0.31224-0.24441-0.21222... numeric
@attribute -0.49843+0.39744-0.34523+0.28714-0.22137... numeric
@attribute 47 {1,2,3,4,5,6,7,8,9}

@data
1.763514,3.011365,2.617418,-4.758458,-0.180549,0.459401,-0.38514,-0.148317,-1.831373,0.112907,1.552503,-0.81649,1
1.81207,4.214824,-1.846542,4.719075,4.375732,1.173535,-1.208126,-2.826465,0.575655,0.650516,0.16746,-0.455144,1
5.082257,2.067931,3.083351,-0.765873,-0.684559,-1.261017,-0.998372,0.18686,-0.013699,0.574454,0.603085,-0.638118,1
6.273479,1.376221,2.25463,0.38758,-1.532339,-0.82749,-1.291592,1.358997,-0.005345,-0.939731,-0.012271,-0.573778,1
4.09136,2.595339,1.518186,-0.512179,0.010233,-0.090459,0.937009,-0.283152,1.418708,1.267953,-0.765309,0.009896,1
6.069245,3.668111,2.149919,-2.317085,-0.359365,-0.102652,0.749406,-1.103538,0.797488,0.26028,-0.416337,0.736187,1
5.353045,2.354193,2.460101,-1.951607,-0.635747,-0.431674,-1.334309,0.743803,-0.437301,0.538267,0.182671,-0.216303,1
3.192884,4.138843,2.155013,-4.07142,-0.073852,1.238109,0.286678,-1.00976,0.052052,0.237094,-0.281729,-0.11625,1
1.969672,1.913175,3.528374,-3.675766,-0.263664,-0.272028,-2.472289,-0.385807,-1.687528,1.170227,0.056679,0.63251,1
1.336519,0.246432,0.5037,-1.284254,3.134039,4.548514,-0.477473,-1.534824,2.853481,-1.322631,-0.77542,3.002143,2
0.120263,0.092613,2.064952,0.102795,1.142102,1.264354,1.630155,-0.988231,0.977232,-1.351152,1.550308,-1.619529,2
12.13747,-10.592762,-10.779403,-3.378642,0.214255,2.106121,-1.765824,0.996114,1.010075,0.733422,0.53336,-1.280413,2
1.334244,0.605783,1.746941,-2.010386,0.994526,2.487286,-0.204823,0.864792,0.078235,-1.020963,-0.000616,-0.415833,2
-4.068941,-3.069622,1.704979,-0.553644,1.608584,0.528276,-1.442327,1.228917,-0.941297,1.345487,-0.955445,0.594399,2
-4.603547,-0.884673,-2.032557,3.774031,2.483114,2.412235,2.906317,-0.138698,-0.583956,1.52312,1.631646,-0.720716,2
-3.325823,-3.308948,1.381757,-0.415567,1.603377,0.082295,-1.22897,1.214247,-0.839884,1.250561,-0.930458,0.391867,2
-5.06257,-3.381478,1.584832,-1.094852,1.838311,1.394743,-1.577027,1.619462,-1.579778,1.002551,-0.894302,1.005601,2
-1.927509,-3.090239,0.798396,-0.66786,2.489064,-0.91973,1.438648,1.610262,-2.040588,-0.619204,0.485396,-0.17636,2
-0.047868,-2.564557,-0.027095,0.577505,-1.075252,-2.927044,-0.334766,-2.336062,1.161174,-0.269162,0.248627,0.658567,3
-4.897006,-2.791365,-0.583811,-0.975986,-1.094373,-1.695451,-0.295499,-2.217581,-0.294486,-0.880065,1.248564,-0.10071,3
-4.085819,-3.095311,-0.674509,-0.53276,-1.175,-1.477301,-0.954503,-2.441869,0.915691,0.765667,-0.078649,0.062553,3
-4.079377,-2.975768,-0.501781,-0.484889,-1.165945,-1.42295,-0.92812,-2.429745,0.899689,0.768745,-0.045935,0.104209,3
-2.080336,-1.507168,-1.124012,-2.008584,-0.99853,-1.686816,0.415161,-2.255371,-0.054659,0.374449,-0.778361,-0.072997,3
-1.494619,-1.258664,-1.049313,-0.88366,-0.942027,-2.600061,0.280247,0.056508,-0.244696,-1.154819,-0.943906,-0.422659,3
2.507503,-2.225558,3.190148,2.490734,0.62715,-0.892375,0.566734,-0.039867,0.105205,-0.711942,0.040185,0.277701,4
2.696899,-4.338524,0.456033,2.119844,-0.793397,0.290237,0.479291,-0.12682,-1.017432,-1.37194,1.07404,0.871893,4
3.297178,-1.647415,1.619531,2.877462,-1.416509,1.130295,1.176465,0.29922,0.293496,1.384071,-0.781949,-0.608839,4
6.681764,-2.606203,1.7535,0.591273,0.391227,-0.536064,1.002184,-1.547102,-0.82849,1.030564,0.977581,0.67449,4
-3.742551,1.617348,-0.351429,-2.511494,1.607692,-1.135448,0.107596,0.118879,1.157612,0.273345,0.097107,-0.20183,5
-3.789136,1.809536,-1.617311,0.662452,0.247812,-0.681476,-2.277286,-1.266461,0.45173,-1.438806,0.067535,-0.659714,5
-4.902014,0.553097,-1.254928,1.149102,-3.041356,1.529871,-2.751189,2.232678,1.590347,-0.471068,-1.088756,0.357626,5
-7.224322,0.098468,-0.757315,-2.314733,2.251624,-0.0746,-0.540605,0.481602,0.11663,0.322054,0.70563,0.727654,5
-1.965161,2.742579,-3.177272,3.730112,-2.540607,0.562898,-2.309628,-0.455009,-1.187709,-0.900165,-0.827859,-0.528025,5
-5.229517,-0.121295,0.887993,-2.131954,2.768948,-0.629649,0.36615,0.46326,0.804868,1.03864,-0.065045,-1.575459,5
-1.980757,0.751103,0.770117,-0.923124,1.448558,-0.820324,-0.322402,0.979087,1.288085,0.734669,-0.637019,-1.127636,5
-5.324899,-1.028802,1.170421,0.392714,-0.377574,1.256602,-0.468192,0.2447,0.655454,-1.491277,0.077653,-1.702495,5
1.513779,3.660159,-2.037809,2.083899,0.897059,-2.096731,-0.584655,1.853718,1.807568,0.144435,1.260365,0.340297,5
-2.423909,0.459072,-0.647965,-0.70078,1.561542,-0.027499,1.009116,1.108429,0.180924,-1.254627,0.602989,0.008598,6
3.276999,4.904956,-3.391307,2.514171,1.950444,-1.040652,-1.388215,0.849369,-0.12163,0.054336,0.615694,0.394899,6
1.515177,5.231732,-5.139359,3.005736,1.143714,0.607682,-1.373678,-1.580133,-3.944733,0.969917,-1.375911,-0.47788,6
0.672537,2.360708,-4.108135,0.763344,1.041027,-0.601492,-0.287854,0.523043,0.294947,-0.785617,1.698363,0.86745,6
1.730633,0.444561,-4.491195,-3.296586,1.531642,-1.183521,2.48025,-0.61323,-2.309979,-3.354641,-2.078779,0.472308,6
0.738323,-0.12948,0.637594,1.646537,-0.27528,-0.6667,1.271032,1.86046,0.130899,-0.378846,-0.494328,-0.081375,6
2.176919,0.260521,1.046106,1.130495,-0.401864,-0.55634,-0.080612,0.34697,1.532339,0.014152,-0.900985,0.024567,6
1.503688,0.533115,-0.387088,-0.662834,0.438601,-0.327739,1.926071,0.909909,-0.181881,-0.936465,-1.236233,0.250499,6
0.707774,0.530905,-0.534279,0.270907,0.283065,-0.747396,1.409016,0.990828,0.120047,-0.16517,-0.401638,0.070559,6
2.524086,-2.810172,3.802433,2.883184,1.214089,-0.883796,0.569685,-0.313967,0.578512,0.134091,-1.19436,-0.299498,7
1.235795,-2.896676,2.459015,2.438971,-1.201828,0.598384,-0.954569,-0.170058,-0.299777,-0.865701,-1.982114,-0.193574,7
2.317257,-1.902906,3.172508,2.536534,0.319044,0.036039,1.981419,-0.018829,-0.534432,0.735074,-0.846663,-0.199947,7
