@relation 'pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"-weka.filters.supervised.attribute.AddClassification-Wweka.classifiers.functions.SMO -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 1 numeric
@attribute 4 numeric
@attribute 7 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 15 numeric
@attribute 20 numeric
@attribute 26 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 47 {1,2,3,4,5,6,7,8,9}

@data
129,87.078,129.59,123.35,0.98063,406.03,0.77845,0.91087,118,3.7919,5.2208,5.5327,3649,939,143,162,1
129,73.51,136.52,132.19,0.98352,426.89,0.794,0.94643,134,3.6066,4.0492,3.7775,13688,13169,1,3,1
139,78.317,140.81,137.88,0.98172,447.72,0.79568,0.93601,134,4.26,4.9822,4.9965,6154,1725,103,73,1
144,81.437,143.12,141.21,0.97808,475.49,0.77688,0.87051,140,4.2022,4.8423,4.8896,5909,1201,47,87,1
134,78.181,142.3,135.28,0.98237,444.26,0.77726,0.91514,137,4.07,4.9207,4.8698,10062,7398,19,37,1
139,81.193,142.21,137.76,0.97719,451.62,0.75519,0.91839,142,4.2878,5.2471,5.4812,7992,5060,64,70,1
142,80.742,142.62,136.81,0.97805,452.36,0.79029,0.90279,130,4.2951,5.1396,5.3008,5708,2633,90,97,1
132,82.191,134.51,127.93,0.98589,410.14,0.76077,0.96026,128,4.0452,5.3135,5.6018,6850,2993,62,146,1
138,74.367,132.99,123.05,0.98935,390.65,0.73029,0.97923,118,3.5939,5.0607,5.3672,2507,223,162,76,1
135,72.896,136.47,127.03,0.9649,462.71,0.80234,0.74381,117,2.497,2.9271,2.9753,12212,10539,9,37,2
124,81.247,128.7,126.44,0.97796,421.88,0.79731,0.88652,126,2.5246,3.1842,3.2479,11520,4318,19,118,2
150,87.396,157.12,121.55,0.64547,1175.2,0.52266,0.10558,117,2.6518,3.4953,4.1263,8236,6346,38,52,2
