@relation 'pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.RankSearch -S 1 -R 0 -A weka.attributeSelection.GainRatioAttributeEval --'

@attribute 1 numeric
@attribute 4 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 18 numeric
@attribute 20 numeric
@attribute 24 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 42 numeric
@attribute 44 numeric
@attribute 47 {1,2,3,4,5,6,7,8,9}

@data
129,87.078,87.061,129.59,12186,123.35,0.98063,406.03,0.77845,0.91087,32.25,64.5,118,0.19097,3.7919,4.0425,4.7847,5.2208,5.5327,6.8183,3649,939,95,4,143,38,1
129,73.51,73.51,136.52,13955,132.19,0.98352,426.89,0.794,0.94643,32.25,64.5,134,0.42396,3.6066,3.4327,4.2231,4.0492,3.7775,4.9506,13688,13169,11642,5132,1,17,1
139,78.317,78.341,140.81,15209,137.88,0.98172,447.72,0.79568,0.93601,34.75,69.5,134,0.22119,4.26,4.383,5.4966,4.9822,4.9965,6.6769,6154,1725,86,0,103,6,1
144,81.437,81.442,143.12,16013,141.21,0.97808,475.49,0.77688,0.87051,36,72,140,0.26589,4.2022,4.2497,5.455,4.8423,4.8896,6.5346,5909,1201,0,0,47,0,1
134,78.181,78.187,142.3,14631,135.28,0.98237,444.26,0.77726,0.91514,33.5,67,137,0.1657,4.07,4.0422,5.1258,4.9207,4.8698,6.5367,10062,7398,3163,0,19,43,1
139,81.193,81.45,142.21,15254,137.76,0.97719,451.62,0.75519,0.91839,34.75,69.5,142,0.13991,4.2878,4.5827,5.7284,5.2471,5.4812,7.0714,7992,5060,617,6,64,88,1
142,80.742,80.748,142.62,15031,136.81,0.97805,452.36,0.79029,0.90279,35.5,71,130,0.16676,4.2951,4.5232,5.5729,5.1396,5.3008,6.8513,5708,2633,32,0,90,14,1
132,82.191,82.197,134.51,13038,127.93,0.98589,410.14,0.76077,0.96026,33,66,128,0.13553,4.0452,4.2601,5.0812,5.3135,5.6018,6.9956,6850,2993,562,50,62,88,1
138,74.367,74.451,132.99,12020,123.05,0.98935,390.65,0.73029,0.97923,34.5,69,118,0.19048,3.5939,3.8593,4.6382,5.0607,5.3672,6.8083,2507,223,3,0,162,3,1
135,72.896,72.95,136.47,13134,127.03,0.9649,462.71,0.80234,0.74381,33.75,67.5,117,0.36374,2.497,3.0029,4.0773,2.9271,2.9753,4.4096,12212,10539,3838,186,9,182,2
124,81.247,81.524,128.7,12839,126.44,0.97796,421.88,0.79731,0.88652,31,62,126,0.63605,2.5246,3.0529,4.0239,3.1842,3.2479,4.2465,11520,4318,965,69,19,31,2
150,87.396,87.17,157.12,17976,121.55,0.64547,1175.2,0.52266,0.10558,37.5,75,117,0.39149,2.6518,3.3971,4.5046,3.4953,4.1263,5.4611,8236,6346,827,39,38,56,2
