@relation pollen-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 {1,2,3,4,5,6,7,8,9,}

@data
129,119,69.957,87.078,69.997,87.061,129.59,117.75,12186,123.35,0.98063,406.03,0.77845,0.41746,0.91087,32.25,29.75,64.5,59.5,118,129,0.37298,0.67722,0.19097,0.8256,3.7919,4.0425,4.7847,5.2208,5.5327,6.8183,5.6937e+05,3.3126e+05,7.6648e+05,3.308e+05,7.5194e+05,3649,939,95,4,0,143,162,38,1,0,1
129,134,71.383,73.51,71.383,73.51,136.52,128.23,13955,132.19,0.98352,426.89,0.794,0.34312,0.94643,32.25,33.5,64.5,67,134,128,0.12411,0.79809,0.42396,0.93795,3.6066,3.4327,4.2231,4.0492,3.7775,4.9506,6.8206e+05,4.0037e+05,9.0408e+05,3.999e+05,8.8423e+05,13688,13169,11642,5132,56,1,3,17,73,12,1
139,135,72.625,78.317,72.583,78.341,140.81,135.28,15209,137.88,0.98172,447.72,0.79568,0.27744,0.93601,34.75,33.75,69.5,67.5,134,139,0.1902,0.86194,0.22119,0.9049,4.26,4.383,5.4966,4.9822,4.9965,6.6769,7.2839e+05,4.3161e+05,9.91e+05,4.3124e+05,9.7728e+05,6154,1725,86,0,0,103,73,6,0,0,1
144,140,79.02,81.437,79.017,81.442,143.12,139.62,16013,141.21,0.97808,475.49,0.77688,0.21995,0.87051,36,35,72,70,140,144,0.17515,0.84674,0.26589,0.91757,4.2022,4.2497,5.455,4.8423,4.8896,6.5346,9.1697e+05,5.4879e+05,1.2291e+06,5.4828e+05,1.2041e+06,5909,1201,0,0,0,47,87,0,0,0,1
134,138,70.118,78.181,70.129,78.187,142.3,128.8,14631,135.28,0.98237,444.26,0.77726,0.42504,0.91514,33.5,34.5,67,69,137,134,0.21977,0.90469,0.1657,0.89883,4.07,4.0422,5.1258,4.9207,4.8698,6.5367,6.9782e+05,4.0569e+05,9.4095e+05,4.0528e+05,9.2557e+05,10062,7398,3163,0,0,19,37,43,0,0,1
139,142,69.293,81.193,69.391,81.45,142.21,133.83,15254,137.76,0.97719,451.62,0.75519,0.33834,0.91839,34.75,35.5,69.5,71,142,139,0.39228,0.86089,0.13991,0.83166,4.2878,4.5827,5.7284,5.2471,5.4812,7.0714,6.7741e+05,3.9866e+05,9.2772e+05,3.9832e+05,9.154e+05,7992,5060,617,6,0,64,70,88,3,0,1
142,131,74.239,80.742,74.25,80.748,142.62,131.62,15031,136.81,0.97805,452.36,0.79029,0.38509,0.90279,35.5,32.75,71,65.5,130,138,0.29412,0.83347,0.16676,0.8671,4.2951,4.5232,5.5729,5.1396,5.3008,6.8513,7.9927e+05,4.8074e+05,1.0889e+06,4.8037e+05,1.0757e+06,5708,2633,32,0,0,90,97,14,0,0,1
132,128,69.821,82.191,69.866,82.197,134.51,121.93,13038,127.93,0.98589,410.14,0.76077,0.42234,0.96026,33,32,66,64,128,131,0.48485,0.81387,0.13553,0.80609,4.0452,4.2601,5.0812,5.3135,5.6018,6.9956,5.5393e+05,3.2556e+05,7.4645e+05,3.2519e+05,7.348e+05,6850,2993,562,50,0,62,146,88,13,0,1
138,118,72.822,74.367,72.88,74.451,132.99,114.12,12020,123.05,0.98935,390.65,0.73029,0.51349,0.97923,34.5,29.5,69,59,118,138,0.37051,0.68164,0.19048,0.82826,3.5939,3.8593,4.6382,5.0607,5.3672,6.8083,5.344e+05,3.333e+05,7.265e+05,3.3298e+05,7.1739e+05,2507,223,3,0,0,162,76,3,0,0,1
135,117,73.113,72.896,73.036,72.95,136.47,119.03,13134,127.03,0.9649,462.71,0.80234,0.48917,0.74381,33.75,29.25,67.5,58.5,117,133,0.26471,0.40347,0.36374,0.86765,2.497,3.0029,4.0773,2.9271,2.9753,4.4096,8.8264e+05,4.9747e+05,1.1978e+06,4.9692e+05,1.1757e+06,12212,10539,3838,186,2,9,37,182,27,2,2
124,127,69.301,81.247,69.382,81.524,128.7,124.87,12839,126.44,0.97796,421.88,0.79731,0.242,0.88652,31,31.75,62,63.5,126,124,0.12121,0.53592,0.63605,0.93939,2.5246,3.0529,4.0239,3.1842,3.2479,4.2465,6.8097e+05,3.9128e+05,9.029e+05,3.9077e+05,8.8187e+05,11520,4318,965,69,0,19,118,31,10,0,2
150,148,73.823,87.396,73.804,87.17,157.12,115.42,17976,121.55,0.64547,1175.2,0.52266,0.67847,0.10558,37.5,37,75,74,117,148,0.20637,0.93064,0.39149,0.95596,2.6518,3.3971,4.5046,3.4953,4.1263,5.4611,4.3096e+06,1.83e+06,5.8423e+06,1.8282e+06,5.6439e+06,8236,6346,827,39,3,38,52,56,6,1,2
137,117,75.708,83.199,75.73,83.137,138.9,117.28,13121,127.08,0.96662,435.61,0.79125,0.53579,0.83993,34.25,29.25,68.5,58.5,117,134,0.25,0.48105,0.33078,0.875,2.7485,3.2395,4.1795,3.7667,3.8531,4.9774,7.2637e+05,4.0523e+05,9.7283e+05,4.0465e+05,9.4803e+05,11856,3307,564,2,0,4,154,25,2,0,2
124,99,74.621,73.635,74.641,73.659,124.02,99.336,10010,110.43,0.95674,403.69,0.78014,0.59871,0.73849,31,24.75,62,49.5,97,122,0.063275,0.71466,0.72071,0.96836,2.414,2.9933,3.2463,2.8166,3.0857,2.8339,7.1529e+05,4.0387e+05,9.1684e+05,4.0307e+05,8.7935e+05,163,0,0,0,0,10,0,0,0,0,2
104,122,72.921,83.378,72.976,83.443,127.78,104.18,11129,113.97,0.91661,424.22,0.80399,0.57908,0.71233,26,30.5,52,61,122,102,0,NaN,1,1,1.9189,2.4693,2.9133,1.7275,1.7275,2.5225,7.7504e+05,3.4644e+05,9.3433e+05,3.4526e+05,8.7366e+05,10195,10125,9653,5008,3,1,1,2,32,2,2
125,102,74.035,74.607,74.076,74.622,123.96,102.58,10394,112.16,0.95064,431.54,0.77498,0.5614,0.66677,31.25,25.5,62.5,51,100,124,0.050179,0.78571,0.72067,0.97491,2.4781,3.0687,3.325,2.814,3.1431,2.8088,7.8879e+05,4.4937e+05,1.0157e+06,4.4862e+05,9.807e+05,171,0,0,0,0,11,0,0,0,0,2
123,93,76.153,75.852,76.361,75.84,124.96,91.725,9399,106.5,0.94776,388.46,0.77874,0.67909,0.7418,30.75,23.25,61.5,46.5,91,123,0.080645,0.5894,0.72976,0.95968,2.0662,2.6316,2.9712,2.5383,2.6686,3.1314,6.7926e+05,3.8674e+05,8.6954e+05,3.8604e+05,8.388e+05,221,0,0,0,0,16,0,0,0,0,2
126,109,69.657,91.697,69.632,91.714,122.17,111.22,11139,116.02,0.9491,459.82,0.76977,0.41368,0.62834,31.5,27.25,63,54.5,109,124,0.046875,0.75036,0.77125,0.97656,2.4057,3.088,3.543,2.2871,2.4463,3.0709,8.4033e+05,4.7188e+05,1.1219e+06,4.7123e+05,1.0924e+06,220,0,0,0,0,13,0,0,0,0,2
135,135,71.14,71.586,71.161,71.633,125.18,118.68,11982,111.48,0.81456,445.25,0.53553,0.31796,0.61866,33.75,33.75,67.5,67.5,124,125,0.015126,0.63205,0.94562,0.99244,3.1703,3.6413,3.2302,3.9809,5.0551,3.6652,8.2467e+05,4.3159e+05,1.097e+06,4.3094e+05,1.0722e+06,7491,139,0,0,0,30,6,0,0,0,3
114,113,71.943,76.879,71.875,76.858,108.72,104.05,9410,97.773,0.79787,429.46,0.58283,0.28991,0.51154,28.5,28.25,57,56.5,109,113,0.035672,0.4815,0.8968,0.98216,2.3766,2.9075,2.7388,4.2456,5.3281,3.729,7.3742e+05,3.4812e+05,8.9594e+05,3.4706e+05,8.4614e+05,4572,29,0,0,0,52,7,0,0,0,3
119,115,71.789,68.035,71.763,68.095,114.22,102.92,9941,100.54,0.79861,442.12,0.58012,0.43368,0.51038,29.75,28.75,59.5,57.5,113,114,0.023333,0.62128,0.91586,0.98833,2.6176,3.0803,2.9257,4.5131,5.6189,3.7965,8.3875e+05,3.8778e+05,1.0408e+06,3.8676e+05,9.9238e+05,5193,509,0,0,0,4,11,0,0,0,3
119,115,71.853,67.998,71.822,68.086,114.74,103.16,9996,100.96,0.80082,436.84,0.58495,0.43766,0.52714,29.75,28.75,59.5,57.5,114,115,0.023333,0.60797,0.91795,0.98833,2.6248,3.0912,2.9498,4.4973,5.5791,3.7934,8.0338e+05,3.7328e+05,9.9481e+05,3.7227e+05,9.4699e+05,5208,508,0,0,0,4,14,0,0,0,3
123,124,69.903,77.059,69.951,77.033,118.35,104.9,10390,103.55,0.81059,437.96,0.55219,0.463,0.55178,30.75,31,61.5,62,115,120,0.17843,0.70828,0.5549,0.92288,2.7524,3.2275,2.9265,4.854,5.8184,4.8323,7.5014e+05,4.133e+05,9.8493e+05,4.1264e+05,9.5691e+05,6342,321,0,0,0,3,14,0,0,0,3
127,123,75.114,84.833,75.027,84.728,118.63,112.7,10688,106.34,0.83103,423.04,0.56859,0.31222,0.62368,31.75,30.75,63.5,61.5,112,126,0.09668,0.92427,0.58037,0.95817,2.7881,3.3351,2.9256,4.4264,5.4803,4.2142,7.4033e+05,4.0716e+05,9.774e+05,4.0652e+05,9.5388e+05,7082,13,0,0,0,21,4,0,0,0,3
138,135,73.622,76.487,73.577,76.504,137.05,131.55,14685,134.04,0.96098,462.65,0.75749,0.28051,0.82851,34.5,33.75,69,67.5,135,138,0.023673,0.74327,0.88574,0.98816,2.3321,3.2169,4.8772,2.2728,2.4741,4.236,7.1936e+05,4.1457e+05,9.7173e+05,4.1411e+05,9.5387e+05,5484,242,3,0,0,35,6,1,0,0,4
134,140,77.232,80.596,77.195,80.751,134.63,125.83,14180,129.82,0.9335,576.99,0.7056,0.35546,0.49965,33.5,35,67,70,138,129,0.026144,0.50857,0.92195,0.98693,2.0102,2.9126,4.4036,2.6108,2.7764,4.3438,1.2458e+06,6.7527e+05,1.6369e+06,6.7441e+05,1.5844e+06,3557,0,0,0,0,43,0,0,0,0,4
128,146,77.437,73.884,77.343,74.078,147.38,127.11,15118,136.54,0.96851,495.7,0.7835,0.5061,0.74882,32,36.5,64,73,144,128,0.034539,0.93173,0.55201,0.98273,2.5697,3.4011,4.7848,2.6485,2.8951,5.0027,9.8521e+05,5.2455e+05,1.2533e+06,5.2371e+05,1.2059e+06,9196,590,0,0,0,18,33,0,0,0,4
140,148,68.267,77.624,68.343,77.457,151.68,139.64,17408,145.03,0.94893,624.06,0.79725,0.39054,0.53301,35,37,70,74,148,140,0.16541,0.65897,0.411,0.91729,2.6091,3.5724,4.9551,3.3939,3.8859,5.0121,1.2711e+06,6.3928e+05,1.7264e+06,6.3847e+05,1.6741e+06,3370,0,0,0,0,80,0,0,0,0,4
122,104,68.109,82.613,68.088,82.582,114.81,104.07,9127,104.93,0.94741,359.83,0.68151,0.42231,0.83923,30.5,26,61,52,100,122,0.14934,0.78848,0.63346,0.93299,3.2553,3.478,3.2348,5.5168,5.9089,4.9308,4.8445e+05,2.8399e+05,6.4636e+05,2.8356e+05,6.3346e+05,8319,7659,5849,148,0,2,40,34,9,0,5
117,111,76.084,76.585,76.084,76.585,110.79,109.05,9351,104.46,0.91659,367.76,0.65997,0.17637,0.79637,29.25,27.75,58.5,55.5,104,117,0.1082,0.62561,0.64538,0.9459,3.3013,3.4433,3.2575,5.4382,5.9251,5.1889,6.6466e+05,3.4766e+05,8.3315e+05,3.4679e+05,7.9803e+05,8571,8427,6437,1137,35,1,1,6,18,6,5
114,109,89.284,71.986,89.264,71.966,112.79,101.66,8725,103.08,0.95656,361.34,0.67166,0.43304,0.80326,28.5,27.25,57,54.5,108,109,0.033251,0.85152,0.79432,0.98337,3.1269,3.347,3.0382,5.2359,5.6823,4.6224,7.3513e+05,3.8672e+05,9.0323e+05,3.8563e+05,8.5798e+05,8142,7658,6019,24,0,3,37,39,5,0,5
116,90,70.286,82.288,70.286,82.288,109.14,88.836,7529,94.992,0.94129,331.42,0.67883,0.58097,0.8108,29,22.5,58,45,86,116,0.087644,0.49251,0.7824,0.96157,2.6628,2.85,2.5287,4.7619,5.2863,4.3087,4.4331e+05,2.5532e+05,5.702e+05,2.5475e+05,5.5125e+05,7086,6994,6125,161,0,1,2,11,19,0,5
115,130,85.723,78.437,85.723,78.437,120.85,114.42,10605,111.73,0.92447,392.33,0.65579,0.32202,0.8004,28.75,32.5,57.5,65,129,109,0.059838,0.73934,0.72187,0.97008,3.6607,3.8329,3.6477,5.5126,6.078,5.0491,7.6642e+05,4.1382e+05,9.5722e+05,4.1286e+05,9.1557e+05,9802,9531,7539,1644,125,1,4,1,11,7,5
120,97,66.204,79.601,66.204,79.601,114.03,98.879,8702,103.9,0.97426,348.16,0.72835,0.49805,0.87892,30,24.25,60,48.5,96,120,0.061333,0.85207,0.60856,0.96933,2.7082,2.7001,2.8192,4.301,4.4475,3.395,4.6455e+05,2.7003e+05,6.161e+05,2.6951e+05,5.9868e+05,8314,5609,3666,477,0,16,71,8,1,0,5
128,110,71.395,78.687,71.395,78.687,123.47,110.52,10728,115.39,0.97483,385.53,0.74276,0.44586,0.88417,32,27.5,64,55,109,128,0.072198,0.90347,0.39502,0.9639,3.216,3.1252,3.4573,5.1644,5.2457,3.7443,5.7569e+05,3.3396e+05,7.5912e+05,3.3344e+05,7.4015e+05,10396,5439,2270,883,0,4,56,7,2,0,5
112,107,77.473,75.671,77.473,75.671,108.88,104.56,8939,104.86,0.9661,357.7,0.72063,0.27914,0.84816,28,26.75,56,53.5,107,112,0.045918,0.6575,0.83099,0.97704,2.5112,2.457,2.9785,3.229,3.2263,4.3345,6.1859e+05,3.2091e+05,7.5272e+05,3.1991e+05,7.1193e+05,8569,3386,492,91,0,4,66,13,2,0,5
134,129,76.503,85.479,76.498,85.485,132.18,126.61,12644,125.11,0.97232,419.65,0.71121,0.28726,0.87724,33.5,32.25,67,64.5,127,134,0.043672,0.89023,0.56441,0.97816,4.2746,4.4327,4.0329,6.2484,6.648,4.4867,7.4051e+05,4.2416e+05,9.8319e+05,4.2362e+05,9.6302e+05,12275,12125,11378,4574,0,3,14,4,27,0,5
123,112,72.53,89.116,72.523,89.123,118.66,109.39,9890,110.23,0.96491,401.76,0.69273,0.38758,0.74296,30.75,28,61.5,56,111,123,0.080089,0.68914,0.67257,0.95996,3.1024,3.1216,3.5637,3.7416,3.7663,4.9788,6.8722e+05,3.6705e+05,8.8969e+05,3.6628e+05,8.5648e+05,8286,7543,5994,390,0,4,32,32,15,0,6
136,133,77.747,88.142,77.738,88.156,136.58,127.24,13333,127.66,0.95995,447.08,0.7076,0.36349,0.80465,34,33.25,68,66.5,130,136,0.15744,0.89308,0.3448,0.92128,4.6599,4.737,4.4546,5.8698,5.7291,5.4848,8.5938e+05,4.7414e+05,1.1358e+06,4.7347e+05,1.1073e+06,12206,11403,10125,6858,24,1,4,5,46,6,6
